gene1.1	gene1_v1.1
gene2.1	gene2_v1.1
gene3.1	gene3_v1.1
gene_c1_10000V3.1	gene_c1_10000V1.1
gene_c1_1000V3.1	gene_c1_1000V1.1
gene_c1_10010V3.1	gene_c1_10010V1.1
gene_c1_10040V3.1	gene_c1_10040V1.1
gene_c1_10050V3.1	gene_c1_10050V1.1
gene_c1_10060V3.1	gene_c1_10060V1.1
gene_c1_10080V3.1	gene_c1_10080V1.1
gene_c1_10090V3.1	gene_c1_10090V1.1
gene_c1_100V3.1	gene_c1_100V1.1
gene_c1_10100V3.1	gene_c1_10100V1.1
gene_c1_10120V3.1	gene_c1_10120V1.1
gene_c1_10140V3.1	
gene_c1_10180V3.1	gene_c1_10180V1.1
gene_c1_10200V3.1	gene_c1_10200V1.1
gene_c1_10210V3.1	gene_c1_10210V1.1
gene_c1_10220V3.1	gene_c1_10220V1.1
gene_c1_10390V3.1	gene_c1_10390V1.1
gene_c1_10400V3.1	gene_c1_10400V1.1
gene_c1_10430V3.1	gene_c1_10430V1.1
gene_c1_10439V3.1	
gene_c1_10449V3.1	
gene_c1_10450V3.1	gene_c1_10450V1.1
gene_c1_10452V3.1	
gene_c1_10460V3.1	gene_c1_10460V1.1
gene_c1_10470V3.1	gene_c1_10470V1.1
gene_c1_10500V3.1	gene_c1_10500V1.1
gene_c1_10530V3.1	gene_c1_10530V1.1
gene_c1_10540V3.1	gene_c1_10540V1.1
gene_c1_10550V3.1	
gene_c1_10570V3.1	gene_c1_10570V1.1
gene_c1_10580V3.1	gene_c1_10580V1.1
gene_c1_10590V3.1	gene_c1_10590V1.1
gene_c1_10611V3.1	
gene_c1_10620V3.1	gene_c1_10620V1.1
gene_c1_10630V3.1	gene_c1_10630V1.1
gene_c1_10660V3.1	gene_c1_10660V1.1
gene_c1_10680V3.1	gene_c1_10680V1.1
gene_c1_10690V3.1	gene_c1_10690V1.1
gene_c1_10700V3.1	gene_c1_10700V1.1
gene_c1_10710V3.1	gene_c1_10710V1.1
gene_c1_10715V3.1	
gene_c1_10719V3.1	
gene_c1_10720V3.1	gene_c1_10720V1.1
gene_c1_10740V3.1	
gene_c1_10760V3.1	gene_c1_10760V1.1
gene_c1_1080V3.1	gene_c1_1080V1.1
gene_c1_10810V3.1	gene_c1_10810V1.1
gene_c1_10830V3.1	gene_c1_10830V1.1
gene_c1_10850V3.1	gene_c1_10850V1.1
gene_c1_10860V3.1	gene_c1_10860V1.1
gene_c1_10875V3.1	
gene_c1_10880V3.1	gene_c1_10880V1.1
gene_c1_10900V3.1	gene_c1_10900V1.1
gene_c1_1090V3.1	gene_c1_1090V1.1
gene_c1_10910V3.1	gene_c1_10910V1.1
gene_c1_10940V3.1	gene_c1_10940V1.1
gene_c1_1095V3.1	
gene_c1_10970V3.1	gene_c1_10970V1.1
gene_c1_11010V3.1	gene_c1_11010V1.1
gene_c1_11020V3.1	gene_c1_11020V1.1
gene_c1_11030V3.1	gene_c1_11030V1.1
gene_c1_11040V3.1	gene_c1_11040V1.1
gene_c1_11050V3.1	gene_c1_11050V1.1
gene_c1_11070V3.1	gene_c1_11070V1.1
gene_c1_11090V3.1	gene_c1_11090V1.1
gene_c1_110V3.1	gene_c1_110V1.1
gene_c1_11100V3.1	
gene_c1_11130V3.1	gene_c1_11130V1.1
gene_c1_11190V3.1	gene_c1_11190V1.1
gene_c1_11210V3.1	gene_c1_11210V1.1
gene_c1_11290V3.1	
gene_c1_11310V3.1	gene_c1_11310V1.1
gene_c1_11340V3.1	gene_c1_11340V1.1
gene_c1_11420V3.1	gene_c1_11420V1.1
gene_c1_11480V3.1	
gene_c1_11500V3.1	gene_c1_11500V1.1
gene_c1_11520V3.1	gene_c1_11520V1.1
gene_c1_1160V3.1	gene_c1_1160V1.1
gene_c1_11610V3.1	gene_c1_11610V1.1
gene_c1_11630V3.1	gene_c1_11630V1.1
gene_c1_11670V3.1	gene_c1_11670V1.1
gene_c1_11690V3.1	gene_c1_11690V1.1
gene_c1_1170V3.1	gene_c1_1170V1.1
gene_c1_11720V3.1	gene_c1_11720V1.1
gene_c1_11740V3.1	gene_c1_11740V1.1
gene_c1_11820V3.1	gene_c1_11820V1.1
gene_c1_11880V3.1	gene_c1_11880V1.1
gene_c1_11890V3.1	gene_c1_11890V1.1
gene_c1_11910V3.1	gene_c1_11910V1.1
gene_c1_11980V3.1	gene_c1_11980V1.1
gene_c1_11990V3.1	gene_c1_11990V1.1
gene_c1_12020V3.1	gene_c1_12020V1.1
gene_c1_12040V3.1	gene_c1_12040V1.1
gene_c1_12070V3.1	gene_c1_12070V1.1
gene_c1_12080V3.1	gene_c1_12080V1.1
gene_c1_120V3.1	gene_c1_120V1.1
gene_c1_12100V3.1	gene_c1_12100V1.1
gene_c1_12120V3.1	gene_c1_12120V1.1
gene_c1_12130V3.1	gene_c1_12130V1.1
gene_c1_12140V3.1	gene_c1_12140V1.1
gene_c1_12170V3.1	gene_c1_12170V1.1
gene_c1_12180V3.1	gene_c1_12180V1.1
gene_c1_12190V3.1	gene_c1_12190V1.1
gene_c1_12220V3.1	gene_c1_12220V1.1
gene_c1_12230V3.1	gene_c1_12230V1.1
gene_c1_12270V3.1	gene_c1_12270V1.1
gene_c1_12280V3.1	gene_c1_12280V1.1
gene_c1_12290V3.1	gene_c1_12290V1.1
gene_c1_12330V3.1	gene_c1_12330V1.1
gene_c1_12340V3.1	gene_c1_12340V1.1
gene_c1_12350V3.1	
gene_c1_12370V3.1	gene_c1_12370V1.1
gene_c1_12380V3.1	gene_c1_12380V1.1
gene_c1_1240V3.1	gene_c1_1240V1.1
gene_c1_12420V3.1	gene_c1_12420V1.1
gene_c1_12440V3.1	gene_c1_12440V1.1
gene_c1_12470V3.1	gene_c1_12470V1.1
gene_c1_12560V3.1	gene_c1_12560V1.1
gene_c1_12600V3.1	gene_c1_12600V1.1
gene_c1_1260V3.1	gene_c1_1260V1.1
gene_c1_12610V3.1	gene_c1_12610V1.1
gene_c1_12620V3.1	gene_c1_12620V1.1
gene_c1_12630V3.1	gene_c1_12630V1.1
gene_c1_12640V3.1	
gene_c1_12650V3.1	gene_c1_12650V1.1
gene_c1_12670V3.1	gene_c1_12670V1.1
gene_c1_12690V3.1	gene_c1_12690V1.1
gene_c1_12700V3.1	gene_c1_12700V1.1
gene_c1_12703V3.1	
gene_c1_1270V3.1	gene_c1_1270V1.1
gene_c1_12710V3.1	gene_c1_12710V1.1
gene_c1_12715V3.1	
gene_c1_12730V3.1	gene_c1_12730V1.1
gene_c1_12740V3.1	gene_c1_12740V1.1
gene_c1_12750V3.1	gene_c1_12750V1.1
gene_c1_12760V3.1	gene_c1_12760V1.1
gene_c1_12790V3.1	gene_c1_12790V1.1
gene_c1_12800V3.1	gene_c1_12800V1.1
gene_c1_12810V3.1	gene_c1_12810V1.1
gene_c1_12820V3.1	gene_c1_12820V1.1
gene_c1_12830V3.1	gene_c1_12830V1.1
gene_c1_12850V3.1	gene_c1_12850V1.1
gene_c1_12860V3.1	gene_c1_12860V1.1
gene_c1_12890V3.1	gene_c1_12890V1.1
gene_c1_1290V3.1	gene_c1_1290V1.1
gene_c1_12911V3.1	
gene_c1_12940V3.1	gene_c1_12940V1.1
gene_c1_12950V3.1	gene_c1_12950V1.1
gene_c1_12960V3.1	gene_c1_12960V1.1
gene_c1_12990V3.1	gene_c1_12990V1.1
gene_c1_1300V3.1	gene_c1_1300V1.1
gene_c1_13010V3.1	gene_c1_13010V1.1
gene_c1_13020V3.1	gene_c1_13020V1.1
gene_c1_13030V3.1	gene_c1_13030V1.1
gene_c1_13050V3.1	gene_c1_13050V1.1
gene_c1_13060V3.1	gene_c1_13060V1.1
gene_c1_13080V3.1	gene_c1_13080V1.1
gene_c1_1310V3.1	gene_c1_1310V1.1
gene_c1_13120V3.1	gene_c1_13120V1.1
gene_c1_13140V3.1	gene_c1_13140V1.1
gene_c1_13170V3.1	gene_c1_13170V1.1
gene_c1_13190V3.1	gene_c1_13190V1.1
gene_c1_13200V3.1	gene_c1_13200V1.1
gene_c1_1320V3.1	gene_c1_1320V1.1
gene_c1_13240V3.1	gene_c1_13240V1.1
gene_c1_13260V3.1	gene_c1_13260V1.1
gene_c1_13270V3.1	gene_c1_13270V1.1
gene_c1_13280V3.1	gene_c1_13280V1.1
gene_c1_13290V3.1	gene_c1_13290V1.1
gene_c1_13300V3.1	gene_c1_13300V1.1
gene_c1_13308V3.1	
gene_c1_1330V3.1	gene_c1_1330V1.1
gene_c1_13320V3.1	
gene_c1_13370V3.1	gene_c1_13370V1.1
gene_c1_13380V3.1	gene_c1_13380V1.1
gene_c1_13420V3.1	gene_c1_13420V1.1
gene_c1_13430V3.1	gene_c1_13430V1.1
gene_c1_13461V3.1	
gene_c1_13530V3.1	gene_c1_13530V1.1
gene_c1_13570V3.1	gene_c1_13570V1.1
gene_c1_13600V3.1	gene_c1_13600V1.1
gene_c1_1360V3.1	gene_c1_1360V1.1
gene_c1_13640V3.1	gene_c1_13640V1.1
gene_c1_13670V3.1	gene_c1_13670V1.1
gene_c1_13671V3.1	
gene_c1_13710V3.1	gene_c1_13710V1.1
gene_c1_13720V3.1	gene_c1_13720V1.1
gene_c1_13760V3.1	gene_c1_13760V1.1
gene_c1_13780V3.1	gene_c1_13780V1.1
gene_c1_13800V3.1	gene_c1_13800V1.1
gene_c1_13820V3.1	
gene_c1_13830V3.1	gene_c1_13830V1.1
gene_c1_13840V3.1	gene_c1_13840V1.1
gene_c1_13870V3.1	gene_c1_13870V1.1
gene_c1_13890V3.1	gene_c1_13890V1.1
gene_c1_1390V3.1	gene_c1_1390V1.1
gene_c1_13910V3.1	gene_c1_13910V1.1
gene_c1_13930V3.1	gene_c1_13930V1.1
gene_c1_13950V3.1	gene_c1_13950V1.1
gene_c1_13990V3.1	gene_c1_13990V1.1
gene_c1_14000V3.1	gene_c1_14000V1.1
gene_c1_14030V3.1	gene_c1_14030V1.1
gene_c1_14040V3.1	gene_c1_14040V1.1
gene_c1_140V3.1	gene_c1_140V1.1
gene_c1_14120V3.1	gene_c1_14120V1.1
gene_c1_14130V3.1	
gene_c1_14150V3.1	gene_c1_14150V1.1
gene_c1_1420V3.1	
gene_c1_1421V3.1	
gene_c1_14230V3.1	gene_c1_14230V1.1
gene_c1_14250V3.1	gene_c1_14250V1.1
gene_c1_14290V3.1	gene_c1_14290V1.1
gene_c1_14300V3.1	gene_c1_14300V1.1
gene_c1_14310V3.1	gene_c1_14310V1.1
gene_c1_14330V3.1	gene_c1_14330V1.1
gene_c1_14380V3.1	gene_c1_14380V1.1
gene_c1_14440V3.1	gene_c1_14440V1.1
gene_c1_14480V3.1	gene_c1_14480V1.1
gene_c1_14540V3.1	gene_c1_14540V1.1
gene_c1_14550V3.1	gene_c1_14550V1.1
gene_c1_145V3.1	
gene_c1_14600V3.1	gene_c1_14600V1.1
